Rank,County,Population
1,Los Angeles County,"10,105,722"
2,San Diego County,"3,283,665"
3,Orange County,"3,155,816"
4,Riverside County,"2,355,002"
5,San Bernardino County,"2,121,220"
6,Santa Clara County,"1,911,226"
7,Alameda County,"1,629,615"
8,Sacramento County,"1,495,400"
9,Contra Costa County,"1,123,678"
10,Fresno County,"971,616"
11,Kern County,"878,744"
12,San Francisco County,"864,263"
13,Ventura County,"847,834"
14,San Mateo County,"763,450"
15,San Joaquin County,"724,153"
16,Stanislaus County,"535,684"
17,Sonoma County,"500,943"
18,Tulare County,"458,809"
19,Santa Barbara County,"442,996"
20,Solano County,"434,981"
21,Monterey County,"433,168"
22,Placer County,"374,985"
23,San Luis Obispo County,"280,119"
24,Santa Cruz County,"273,263"
25,Merced County,"267,390"
26,Marin County,"260,814"
27,Butte County,"225,207"
28,Yolo County,"212,605"
29,El Dorado County,"185,015"
30,Imperial County,"179,957"
31,Shasta County,"178,919"
32,Madera County,"154,440"
33,Kings County,"150,183"
34,Napa County,"141,005"
35,Humboldt County,"135,490"
36,Nevada County,"98,838"
37,Sutter County,"95,583"
38,Mendocino County,"87,497"
39,Yuba County,"74,644"
40,Lake County,"64,095"
41,Tehama County,"63,247"
42,San Benito County,"58,671"
43,Tuolumne County,"53,899"
44,Calaveras County,"45,057"
45,Siskiyou County,"43,530"
46,Amador County,"37,306"
47,Lassen County,"31,470"
48,Glenn County,"27,935"
49,Del Norte County,"27,442"
50,Colusa County,"21,479"
51,Plumas County,"18,724"
52,Inyo County,"18,195"
53,Mariposa County,"17,658"
54,Mono County,"14,058"
55,Trinity County,"13,037"
56,Modoc County,"9,017"
57,Sierra County,"2,885"
58,Alpine County,"1,203"
