"County","Sector","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","Total Usage"
"ALAMEDA","Total","   11112.655423","   10814.694495","   10257.332710","   10318.357038","   10634.931009","   10602.778217","   10990.092975","   10728.586512","   10365.292735","   11183.836717","   11742.168989","  118750.726820"
"ALPINE","Total","      19.021055","      17.415654","      16.209900","      15.983364","      18.176468","      13.888339","      14.293288","      17.655755","      18.264193","      18.268392","      20.012384","     189.188792"
"AMADOR","Total","     315.472468","     309.635323","     285.623785","     289.598598","     310.384025","     321.817592","     310.221184","     315.733834","     326.998796","     332.179512","     322.611466","    3440.276583"
"BUTTE","Total","    1545.039454","    1486.524542","    1496.990082","    1491.908668","    1504.429510","    1508.130470","    1439.721545","    1426.857449","    1456.408827","    1470.802207","    1515.617147","   16342.429901"
"CALAVERAS","Total","     352.316330","     315.900716","     311.087202","     318.903628","     325.877542","     325.739716","     325.086665","     314.962477","     323.311182","     320.043966","     322.235265","    3555.464689"
"COLUSA","Total","     296.044033","     299.210268","     308.950409","     305.440430","     298.915508","     279.640774","     270.844580","     256.471925","     265.630951","     257.328894","     250.673361","    3089.151133"
"CONTRA COSTA","Total","    9777.852017","    9643.501056","    9518.084638","    9604.858639","    9172.568174","    9094.220620","    9101.749106","    9114.856771","    9093.252073","    9351.769957","    8593.322550","  102066.035601"
"DEL NORTE","Total","     215.892939","     203.876277","     211.139918","     202.685165","     225.508851","     227.600983","     237.889238","     241.613503","     241.329520","     249.779652","     255.258834","    2512.574880"
"EL DORADO","Total","    1271.656925","    1214.745462","    1173.938246","    1192.713972","    1243.837958","    1254.560912","    1244.777256","    1241.413836","    1269.216514","    1287.109112","    1275.973627","   13669.943820"
"FRESNO","Total","    7460.825952","    7625.323456","    7686.428478","    7685.759978","    7512.732013","    7382.287061","    6885.947936","    6903.406765","    7077.931828","    7117.527728","    7104.831911","   80443.003106"
"GLENN","Total","     392.179847","     367.490686","     384.900493","     382.869953","     350.512678","     306.772722","     294.762310","     297.687519","     305.040352","     329.809538","     351.641479","    3763.667577"
"HUMBOLDT","Total","     831.010326","     808.327830","     824.567229","     840.721275","     891.458298","     900.384679","     915.894196","     927.422325","     907.930378","    1011.244742","    1046.102675","    9905.063953"
"IMPERIAL","Total","    1421.289823","    1418.889768","    1404.296760","    1435.257040","    1445.984819","    1467.830030","    1433.721469","    1395.917017","    1429.251642","    1465.374548","    1400.182156","   15717.995072"
"INYO","Total","    1551.939313","     230.180039","     208.057745","     215.045226","     233.307832","     240.512880","     237.634102","     229.976609","     231.640785","     211.040622","     216.256594","    3805.591747"
"KERN","Total","   18439.672119","   16529.714465","   15169.859744","   14294.683163","   15023.453430","   16675.353123","   15953.156613","   14955.470033","   14443.164196","   15450.285867","   17243.260118","  174178.072871"
"KINGS","Total","    1516.461659","    1791.544989","    1776.130901","    1817.579480","    1785.415238","    1680.695359","    1423.795672","    1453.520281","    1586.281294","    1496.351535","    1423.513415","   17751.289823"
"LAKE","Total","     470.800523","     441.276713","     431.078689","     441.407022","     469.839066","     466.137268","     459.520073","     453.888670","     452.516091","     455.459788","     444.766658","    4986.690561"
